Intersection_ID,Timestamp,Vehicle_Count,Day_of_Week,Weather_Condition,Traffic_Volume_Level
I001,1/3/2024 19:00,85,Sunday,Sunny,Medium
I002,1/4/2024 21:00,159,Sunday,Snowy,High
I002,1/5/2024 7:00,150,Sunday,Snowy,Low
I002,1/5/2024 8:00,225,Sunday,Foggy,High
I003,1/3/2024 5:00,203,Sunday,Cloudy,Low
I003,1/4/2024 9:00,88,Sunday,Snowy,Low
I004,1/1/2024 12:00,202,Sunday,Foggy,Medium
I004,1/2/2024 0:00,164,Sunday,Foggy,High
I005,1/2/2024 5:00,163,Sunday,Cloudy,Low
I005,1/2/2024 11:00,199,Sunday,Foggy,Medium
I001,1/1/2024 20:00,216,Thursday,Foggy,High
I001,1/2/2024 15:00,66,Thursday,Sunny,High
I001,1/2/2024 19:00,76,Thursday,Rainy,Medium
I002,1/3/2024 10:00,106,Thursday,Sunny,High
I003,1/2/2024 20:00,150,Thursday,Sunny,Medium
I003,1/4/2024 4:00,179,Thursday,Foggy,High
I004,1/3/2024 11:00,209,Thursday,Snowy,Medium
I004,1/3/2024 22:00,168,Thursday,Sunny,Low
I004,1/5/2024 10:00,185,Thursday,Sunny,High
I005,1/5/2024 4:00,57,Thursday,Rainy,Low
I001,1/3/2024 0:00,54,Tuesday,Rainy,Medium
I001,1/4/2024 11:00,121,Tuesday,Snowy,High
I002,1/2/2024 10:00,245,Tuesday,Foggy,High
I002,1/2/2024 13:00,88,Tuesday,Snowy,Medium
I002,1/4/2024 16:00,142,Tuesday,Cloudy,High
I004,1/1/2024 16:00,233,Tuesday,Snowy,High
I004,1/1/2024 18:00,147,Tuesday,Cloudy,High
I004,1/2/2024 8:00,153,Tuesday,Snowy,Low
I004,1/3/2024 1:00,233,Tuesday,Snowy,Medium
I004,1/3/2024 2:00,154,Tuesday,Cloudy,High
I005,1/1/2024 15:00,184,Tuesday,Snowy,Low
I005,1/2/2024 2:00,239,Tuesday,Snowy,Low
I005,1/2/2024 9:00,193,Tuesday,Sunny,High
I005,1/3/2024 17:00,195,Tuesday,Rainy,High
I001,1/2/2024 7:00,127,Wednesday,Cloudy,Low
I001,1/2/2024 12:00,142,Wednesday,Rainy,High
I002,1/3/2024 15:00,235,Wednesday,Snowy,Medium
I002,1/3/2024 16:00,67,Wednesday,Rainy,Low
I002,1/3/2024 20:00,105,Wednesday,Snowy,Medium
I002,1/4/2024 7:00,109,Wednesday,Sunny,High
I002,1/4/2024 8:00,219,Wednesday,Snowy,Low
I002,1/4/2024 14:00,172,Wednesday,Sunny,Medium
I002,1/5/2024 1:00,233,Wednesday,Rainy,Medium
I003,1/4/2024 1:00,151,Wednesday,Rainy,High
I004,1/1/2024 19:00,147,Wednesday,Foggy,Medium
I005,1/1/2024 17:00,99,Wednesday,Cloudy,Low
I005,1/2/2024 22:00,115,Wednesday,Cloudy,Low
I005,1/3/2024 18:00,160,Wednesday,Foggy,Medium
I005,1/3/2024 21:00,135,Wednesday,Cloudy,High
